Time stamp,Value[m],State of value,Interpolation,Absolute value[mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
01/05/2015 00:00,0.427,G;Ed,102,26.487,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 00:15,0.431,G;Ed,102,26.491,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 00:30,0.433,G;Ed,102,26.493,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 00:45,0.432,G;Ed,102,26.492,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 01:00,0.434,G;Ed,102,26.494,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 01:15,0.433,G;Ed,102,26.493,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 01:30,0.435,G;Ed,102,26.495,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 01:45,0.435,G;Ed,102,26.495,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 02:00,0.436,G;Ed,102,26.496,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 02:15,0.436,G;Ed,102,26.496,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 02:30,0.435,G;Ed,102,26.495,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 02:45,0.435,G;Ed,102,26.495,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 03:00,0.432,G;Ed,102,26.492,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 03:15,0.431,G;Ed,102,26.491,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 03:30,0.429,G;Ed,102,26.489,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 03:45,0.427,G;Ed,102,26.487,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 04:00,0.427,G;Ed,102,26.487,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 04:15,0.424,G;Ed,102,26.484,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 04:30,0.424,G;Ed,102,26.484,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 04:45,0.421,G;Ed,102,26.481,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 05:00,0.416,G;Ed,102,26.476,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 05:15,0.415,G;Ed,102,26.475,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
