Day in December,Flow Rate (m^3/s),Height (m)
25,8.84,1.362
25.01041667,8.88,1.364
25.02083333,8.8,1.36
25.03125,8.77,1.358
25.04166667,8.67,1.353
25.05208333,8.67,1.353
25.0625,8.65,1.352
25.07291667,8.57,1.348
25.08333333,8.5,1.344
25.09375,8.46,1.342
25.10416667,8.33,1.335
25.11458333,8.35,1.336
25.125,8.29,1.333
25.13541667,8.29,1.333
25.14583333,8.29,1.333
25.15625,8.16,1.326
25.16666667,8.18,1.327
25.17708333,8.03,1.319
25.1875,8.07,1.321
25.19791667,8.03,1.319
25.20833333,7.94,1.314
25.21875,7.99,1.317
25.22916667,7.96,1.315
25.23958333,7.9,1.312
25.25,7.9,1.312
25.26041667,7.83,1.308
25.27083333,7.86,1.31
25.28125,7.81,1.307
25.29166667,7.72,1.302
25.30208333,7.74,1.303
25.3125,7.7,1.301
25.32291667,7.63,1.297
25.33333333,7.58,1.294
25.34375,7.58,1.294
25.35416667,7.51,1.29
25.36458333,7.45,1.287
25.375,7.42,1.285
25.38541667,7.38,1.283
25.39583333,7.44,1.286
25.40625,7.36,1.282
25.41666667,7.26,1.276
25.42708333,7.33,1.28
25.4375,7.24,1.275
25.44791667,7.26,1.276
25.45833333,7.19,1.272
25.46875,7.23,1.274
25.47916667,7.23,1.274
25.48958333,7.14,1.269
25.5,7.31,1.279
25.51041667,7.36,1.282
25.52083333,7.36,1.282
25.53125,7.36,1.282
25.54166667,7.47,1.288
25.55208333,7.68,1.3
25.5625,7.86,1.31
25.57291667,7.96,1.315
25.58333333,8.25,1.331
25.59375,8.67,1.353
25.60416667,8.88,1.364
25.61458333,9.04,1.372
25.625,9.26,1.383
25.63541667,9.8,1.41
25.64583333,10.4,1.438
25.65625,10.9,1.462
25.66666667,11.6,1.494
25.67708333,12.3,1.525
25.6875,14,1.593
25.69791667,15.8,1.665
25.70833333,19.4,1.792
25.71875,24,1.935
25.72916667,31.3,2.142
25.73958333,37.8,2.336
25.75,44.1,2.516
25.76041667,49.9,2.674
25.77083333,54.3,2.793
25.78125,58.7,2.907
25.79166667,61.6,2.982
25.80208333,65,3.069
25.8125,68.7,3.156
25.82291667,73.5,3.267
25.83333333,78.7,3.379
25.84375,84.5,3.501
25.85416667,89.2,3.595
25.86458333,93.8,3.686
25.875,98,3.766
25.88541667,103,3.858
25.89583333,106,3.903
25.90625,107,3.925
25.91666667,107,3.925
25.92708333,105,3.902
25.9375,104,3.867
25.94791667,101,3.828
25.95833333,99.6,3.796
25.96875,95.9,3.726
25.97916667,93.4,3.678
25.98958333,90.4,3.62
26,88,3.571
26.01041667,84.7,3.506
26.02083333,81.2,3.433
26.03125,77.7,3.358
26.04166667,75.3,3.306
26.05208333,72.2,3.237
26.0625,69.2,3.168
26.07291667,66.5,3.105
26.08333333,64.7,3.061
26.09375,62,2.992
26.10416667,60.5,2.955
26.11458333,59.9,2.939
26.125,59.6,2.932
26.13541667,60.3,2.95
26.14583333,61.4,2.977
26.15625,64.1,3.046
26.16666667,67.3,3.124
26.17708333,70.7,3.203
26.1875,73.6,3.269
26.19791667,77.1,3.344
26.20833333,81.8,3.446
26.21875,85.7,3.526
26.22916667,89.8,3.607
26.23958333,92.6,3.663
26.25,96.3,3.734
26.26041667,99,3.784
26.27083333,105,3.892
26.28125,110,3.979
26.29166667,114,4.06
26.30208333,120,4.157
26.3125,124,4.223
26.32291667,129,4.299
26.33333333,134,4.373
26.34375,144,4.534
26.35416667,153,4.655
26.36458333,157,4.723
26.375,165,4.832
26.38541667,167,4.863
26.39583333,170,4.894
26.40625,175,4.962
26.41666667,179,5.011
26.42708333,178,5.001
26.4375,182,5.058
26.44791667,184,5.077
26.45833333,191,5.166
26.46875,197,5.249
26.47916667,202,5.302
26.48958333,205,5.341
26.5,212,5.425
26.51041667,216,5.476
26.52083333,222,5.544
26.53125,221,5.533
26.54166667,227,5.596
26.55208333,232,5.656
26.5625,235,5.692
26.57291667,237,5.711
26.58333333,239,5.735
26.59375,236,5.704
26.60416667,232,5.649
26.61458333,224,5.568
26.625,215,5.458
26.63541667,208,5.38
26.64583333,200,5.277
26.65625,185,5.099
26.66666667,173,4.939
26.67708333,153,4.656
26.6875,130,4.319
26.69791667,118,4.117
26.70833333,106,3.918
26.71875,97.7,3.759
26.72916667,92.4,3.658
26.73958333,87.3,3.558
26.75,82.1,3.452
26.76041667,77.6,3.355
26.77083333,74.6,3.291
26.78125,71.4,3.219
26.79166667,69.6,3.178
26.80208333,67.7,3.134
26.8125,66.3,3.101
26.82291667,65.5,3.082
26.83333333,64.2,3.048
26.84375,66,3.093
26.85416667,65.5,3.082
26.86458333,64.5,3.056
26.875,67.6,3.13
26.88541667,67.9,3.138
26.89583333,68.8,3.158
26.90625,68.7,3.156
26.91666667,69,3.163
26.92708333,68.1,3.142
26.9375,66.9,3.115
26.94791667,65.7,3.086
26.95833333,64.8,3.064
26.96875,62.3,2.999
26.97916667,61.8,2.987
26.98958333,59.6,2.93
27,58.8,2.909
27.01041667,56.8,2.858
27.02083333,55,2.811
27.03125,54.7,2.804
27.04166667,52.8,2.752
27.05208333,52.2,2.738
27.0625,50.6,2.693
27.07291667,49.6,2.667
