Day in December,Flow Rate (m^3/s),Height (m)
25,9.04,0.519
25.01041667,9.16,0.521
25.02083333,9.16,0.521
25.03125,9.34,0.524
25.04166667,9.28,0.523
25.05208333,9.58,0.528
25.0625,9.94,0.534
25.07291667,10.6,0.545
25.08333333,11.6,0.561
25.09375,13.1,0.584
25.10416667,13.9,0.596
25.11458333,14.2,0.601
25.125,14.8,0.61
25.13541667,15.8,0.624
25.14583333,16.5,0.635
25.15625,17.3,0.646
25.16666667,18.1,0.657
25.17708333,19.3,0.674
25.1875,20.2,0.686
25.19791667,21.6,0.705
25.20833333,23.1,0.725
25.21875,23.6,0.731
25.22916667,24.1,0.737
25.23958333,25.2,0.752
25.25,26.7,0.771
25.26041667,28.1,0.788
25.27083333,29.3,0.803
25.28125,33.4,0.852
25.29166667,38.2,0.908
25.30208333,42.9,0.961
25.3125,42.9,0.961
25.32291667,55.3,1.095
25.33333333,67.1,1.217
25.34375,78.9,1.333
25.35416667,87.3,1.414
25.36458333,91.1,1.465
25.375,95.1,1.546
25.38541667,99.1,1.628
25.39583333,104,1.73
25.40625,112,1.875
25.41666667,120,2.045
25.42708333,125,2.141
25.4375,131,2.252
25.44791667,136,2.353
25.45833333,141,2.456
25.46875,146,2.548
25.47916667,151,2.651
25.48958333,157,2.763
25.5,164,2.898
25.51041667,173,3.061
25.52083333,180,3.197
25.53125,181,3.226
25.54166667,186,3.313
25.55208333,192,3.429
25.5625,197,3.516
25.57291667,203,3.634
25.58333333,208,3.729
25.59375,213,3.824
25.60416667,217,3.899
25.61458333,221,3.979
25.625,225,4.049
25.63541667,228,4.109
25.64583333,231,4.159
25.65625,234,4.209
25.66666667,236,4.259
25.67708333,239,4.309
25.6875,242,4.359
25.69791667,245,4.409
25.70833333,247,4.459
25.71875,250,4.509
25.72916667,253,4.559
25.73958333,254,4.589
25.75,256,4.619
25.76041667,258,4.649
25.77083333,259,4.675
25.78125,259,4.673
25.79166667,259,4.669
25.80208333,259,4.666
25.8125,258,4.654
25.82291667,257,4.634
25.83333333,257,4.633
25.84375,254,4.582
25.85416667,252,4.552
25.86458333,252,4.538
25.875,249,4.495
25.88541667,251,4.518
25.89583333,246,4.429
25.90625,246,4.429
25.91666667,240,4.324
25.92708333,241,4.339
25.9375,237,4.265
25.94791667,233,4.194
25.95833333,229,4.128
25.96875,221,3.977
25.97916667,209,3.756
25.98958333,201,3.605
26,196,3.501
26.01041667,192,3.421
26.02083333,183,3.263
26.03125,177,3.152
26.04166667,175,3.103
26.05208333,170,3.016
26.0625,167,2.952
26.07291667,164,2.893
26.08333333,160,2.818
26.09375,155,2.718
26.10416667,154,2.71
26.11458333,150,2.624
26.125,148,2.597
26.13541667,149,2.616
26.14583333,143,2.502
26.15625,141,2.449
26.16666667,140,2.444
26.17708333,139,2.407
26.1875,136,2.354
26.19791667,135,2.33
26.20833333,134,2.323
26.21875,132,2.279
26.22916667,127,2.19
26.23958333,129,2.226
26.25,128,2.195
26.26041667,126,2.152
26.27083333,124,2.119
26.28125,123,2.107
26.29166667,122,2.078
26.30208333,120,2.038
26.3125,119,2.027
26.32291667,118,2.006
26.33333333,117,1.977
26.34375,115,1.946
26.35416667,115,1.944
26.36458333,114,1.929
26.375,113,1.896
26.38541667,113,1.903
26.39583333,112,1.88
26.40625,111,1.873
26.41666667,110,1.837
26.42708333,108,1.811
26.4375,108,1.804
26.44791667,107,1.787
26.45833333,106,1.76
26.46875,105,1.751
26.47916667,104,1.721
26.48958333,103,1.711
26.5,103,1.699
26.51041667,102,1.688
26.52083333,101,1.67
26.53125,101,1.66
26.54166667,99.7,1.639
26.55208333,98.7,1.62
26.5625,98.6,1.616
26.57291667,97.2,1.589
26.58333333,96.8,1.581
26.59375,96.1,1.567
26.60416667,95.5,1.555
26.61458333,94.6,1.536
26.625,93.9,1.522
26.63541667,92.7,1.499
26.64583333,92.9,1.503
26.65625,92.1,1.486
26.66666667,91.3,1.469
26.67708333,90.2,1.447
26.6875,89.7,1.436
26.69791667,88.2,1.422
26.70833333,87.6,1.417
26.71875,83.6,1.379
26.72916667,84.8,1.39
26.73958333,85,1.392
26.75,82.7,1.37
26.76041667,81.7,1.36
26.77083333,82.6,1.369
26.78125,80.6,1.35
26.79166667,78,1.324
26.80208333,78.6,1.33
26.8125,76.9,1.314
26.82291667,75.5,1.301
26.83333333,75.6,1.301
26.84375,74.4,1.289
26.85416667,73.4,1.279
26.86458333,72.1,1.267
26.875,71.9,1.265
26.88541667,70.6,1.252
26.89583333,68.6,1.231
26.90625,67.2,1.218
26.91666667,67.4,1.22
26.92708333,66.9,1.215
26.9375,64.4,1.189
26.94791667,65.3,1.198
26.95833333,62.8,1.173
26.96875,63.5,1.18
26.97916667,60.8,1.153
26.98958333,61.2,1.156
27,60.1,1.145
27.01041667,59.1,1.135
27.02083333,58.4,1.127
27.03125,57.4,1.117
27.04166667,55.6,1.099
27.05208333,55.9,1.101
27.0625,54.4,1.086
27.07291667,54.2,1.083
27.08333333,53.6,1.077
27.09375,51.7,1.057
27.10416667,51.2,1.051
27.11458333,50.3,1.042
27.125,49.5,1.033
27.13541667,49.1,1.028
27.14583333,49.2,1.03
27.15625,47.2,1.009
27.16666667,46.3,0.999
27.17708333,46.1,0.997
27.1875,45,0.984
27.19791667,45,0.984
27.20833333,43.9,0.972
27.21875,43.5,0.968
27.22916667,42.8,0.959
27.23958333,42.6,0.957
27.25,41.9,0.949
27.26041667,40.3,0.931
27.27083333,41.2,0.942
27.28125,40.2,0.931
27.29166667,39.1,0.918
27.30208333,38.6,0.913
27.3125,37.7,0.902
27.32291667,36,0.883
27.33333333,36.4,0.887
27.34375,35.7,0.88
27.35416667,35.2,0.874
27.36458333,33.7,0.856
27.375,33.4,0.852
27.38541667,33.4,0.852
27.39583333,32.6,0.843
27.40625,31.9,0.834
27.41666667,31.7,0.832
27.42708333,30.6,0.819
27.4375,30.2,0.814
27.44791667,30,0.811
27.45833333,29,0.8
27.46875,27.9,0.786
27.47916667,28.1,0.788
27.48958333,28.4,0.791
27.5,27.7,0.783
27.51041667,27.1,0.776
27.52083333,26.2,0.764
27.53125,26.1,0.763
27.54166667,26.9,0.773
27.55208333,25.6,0.757
27.5625,25.5,0.756
27.57291667,25.7,0.758
27.58333333,25.4,0.754
27.59375,25.4,0.754
27.60416667,25.2,0.752
27.61458333,24.9,0.748
27.625,24.7,0.745
27.63541667,24.8,0.746
27.64583333,25,0.749
27.65625,24.5,0.742
27.66666667,24.8,0.746
27.67708333,24.5,0.743
27.6875,24.3,0.74
27.69791667,24.1,0.738
27.70833333,23.6,0.731
27.71875,23.5,0.73
27.72916667,23.5,0.73
27.73958333,23.2,0.726
27.75,23.2,0.726
27.76041667,22.9,0.722
27.77083333,23.1,0.725
27.78125,22.8,0.721
27.79166667,22.7,0.719
27.80208333,22.5,0.717
27.8125,22.3,0.714
27.82291667,22.2,0.713
27.83333333,21.9,0.709
27.84375,21.9,0.709
27.85416667,21.7,0.706
27.86458333,21.6,0.704
27.875,21.7,0.706
27.88541667,21.3,0.701
27.89583333,21.2,0.699
27.90625,21.2,0.699
27.91666667,20.9,0.695
27.92708333,20.7,0.693
27.9375,20.4,0.689
27.94791667,19.8,0.68
27.95833333,20.1,0.684
27.96875,19.5,0.676
27.97916667,19.8,0.68
27.98958333,19.8,0.68
28,19.6,0.678
28.01041667,18.2,0.658
28.02083333,17.5,0.649
28.03125,17.7,0.651
28.04166667,17.5,0.649
28.05208333,17.5,0.649
28.0625,17.5,0.648
28.07291667,17.3,0.646
28.08333333,17.3,0.646
28.09375,17.2,0.644
28.10416667,17,0.642
28.11458333,17.2,0.644
28.125,17,0.641
28.13541667,16.8,0.639
28.14583333,16.8,0.638
28.15625,16.8,0.639
28.16666667,16.6,0.636
28.17708333,16.5,0.635
28.1875,16.6,0.636
