Time stamp,Value[m],State of value,Interpolation,Absolute value[mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
01/01/2007 00:00,0.513,G,102,30.721,G,102,,
01/01/2007 00:15,0.515,G,102,30.723,G,102,,
01/01/2007 00:30,0.514,G,102,30.722,G,102,,
01/01/2007 00:45,0.517,G,102,30.725,G,102,,
01/01/2007 01:00,0.517,G,102,30.725,G,102,,
01/01/2007 01:15,0.517,G,102,30.725,G,102,,
01/01/2007 01:30,0.514,G,102,30.722,G,102,,
01/01/2007 01:45,0.514,G,102,30.722,G,102,,
01/01/2007 02:00,0.515,G,102,30.723,G,102,,
01/01/2007 02:15,0.52,G,102,30.728,G,102,,
01/01/2007 02:30,0.52,G,102,30.728,G,102,,
01/01/2007 02:45,0.52,G,102,30.728,G,102,,
01/01/2007 03:00,0.517,G,102,30.725,G,102,,
01/01/2007 03:15,0.51,G,102,30.718,G,102,,
01/01/2007 03:30,0.509,G,102,30.717,G,102,,
01/01/2007 03:45,0.51,G,102,30.718,G,102,,
01/01/2007 04:00,0.509,G,102,30.717,G,102,,
01/01/2007 04:15,0.508,G,102,30.716,G,102,,
01/01/2007 04:30,0.508,G,102,30.716,G,102,,
01/01/2007 04:45,0.509,G,102,30.717,G,102,,
01/01/2007 05:00,0.509,G,102,30.717,G,102,,
01/01/2007 05:15,0.512,G,102,30.72,G,102,,
01/01/2007 05:30,0.513,G,102,30.721,G,102,,
01/01/2007 05:45,0.513,G,102,30.721,G,102,,
01/01/2007 06:00,0.512,G,102,30.72,G,102,,
01/01/2007 06:15,0.512,G,102,30.72,G,102,,
01/01/2007 06:30,0.509,G,102,30.717,G,102,,
01/01/2007 06:45,0.513,G,102,30.721,G,102,,
01/01/2007 07:00,0.514,G,102,30.722,G,102,,
01/01/2007 07:15,0.513,G,102,30.721,G,102,,
01/01/2007 07:30,0.519,G,102,30.727,G,102,,
01/01/2007 07:45,0.516,G,102,30.724,G,102,,
01/01/2007 08:00,0.517,G,102,30.725,G,102,,
01/01/2007 08:15,0.512,G,102,30.72,G,102,,
01/01/2007 08:30,0.511,G,102,30.719,G,102,,
01/01/2007 08:45,0.516,G,102,30.724,G,102,,
01/01/2007 09:00,0.514,G,102,30.722,G,102,,
01/01/2007 09:15,0.514,G,102,30.722,G,102,,
01/01/2007 09:30,0.519,G,102,30.727,G,102,,
01/01/2007 09:45,0.516,G,102,30.724,G,102,,
01/01/2007 10:00,0.516,G,102,30.724,G,102,,
01/01/2007 10:15,0.516,G,102,30.724,G,102,,
01/01/2007 10:30,0.517,G,102,30.725,G,102,,
01/01/2007 10:45,0.521,G,102,30.729,G,102,,
01/01/2007 11:00,0.524,G,102,30.732,G,102,,
01/01/2007 11:15,0.522,G,102,30.73,G,102,,
01/01/2007 11:30,0.524,G,102,30.732,G,102,,
01/01/2007 11:45,0.522,G,102,30.73,G,102,,
01/01/2007 12:00,0.522,G,102,30.73,G,102,,
01/01/2007 12:15,0.519,G,102,30.727,G,102,,
01/01/2007 12:30,0.516,G,102,30.724,G,102,,
