Day in November,Height (m)
21,0.68
21.01041667,0.681
21.02083333,0.682
21.03125,0.683
21.04166667,0.684
21.05208333,0.686
21.0625,0.687
21.07291667,0.688
21.08333333,0.689
21.09375,0.69
21.10416667,0.691
21.11458333,0.693
21.125,0.694
21.13541667,0.696
21.14583333,0.699
21.15625,0.701
21.16666667,0.704
21.17708333,0.706
21.1875,0.71
21.19791667,0.712
21.20833333,0.716
21.21875,0.72
21.22916667,0.723
21.23958333,0.729
21.25,0.733
21.26041667,0.738
21.27083333,0.743
21.28125,0.749
21.29166667,0.755
21.30208333,0.762
21.3125,0.768
21.32291667,0.774
21.33333333,0.781
21.34375,0.788
21.35416667,0.795
21.36458333,0.803
21.375,0.812
21.38541667,0.796
21.39583333,0.77
21.40625,0.746
21.41666667,0.737
21.42708333,0.736
21.4375,0.741
21.44791667,0.75
21.45833333,0.759
21.46875,0.774
21.47916667,0.789
21.48958333,0.808
21.5,0.827
21.51041667,0.817
21.52083333,0.836
21.53125,0.853
21.54166667,0.866
21.55208333,0.875
21.5625,0.892
21.57291667,0.912
21.58333333,0.934
21.59375,0.971
21.60416667,0.983
21.61458333,1
21.625,1.001
21.63541667,1.03
21.64583333,1.045
21.65625,1.051
21.66666667,1.073
21.67708333,1.076
21.6875,1.07
21.69791667,1.096
21.70833333,1.116
21.71875,1.121
21.72916667,1.13
21.73958333,1.124
21.75,1.145
21.76041667,1.158
21.77083333,1.157
21.78125,1.167
21.79166667,1.176
21.80208333,1.186
21.8125,1.194
21.82291667,1.203
21.83333333,1.216
21.84375,1.22
21.85416667,1.228
21.86458333,1.244
21.875,1.257
21.88541667,1.267
21.89583333,1.28
21.90625,1.29
21.91666667,1.305
21.92708333,1.318
21.9375,1.329
21.94791667,1.34
21.95833333,1.355
21.96875,1.37
21.97916667,1.381
21.98958333,1.391
22,1.399
22.01041667,1.411
22.02083333,1.421
22.03125,1.433
22.04166667,1.444
22.05208333,1.455
22.0625,1.462
22.07291667,1.477
22.08333333,1.49
22.09375,1.498
22.10416667,1.511
22.11458333,1.52
22.125,1.527
22.13541667,1.536
22.14583333,1.546
22.15625,1.552
22.16666667,1.561
22.17708333,1.57
22.1875,1.58
22.19791667,1.588
22.20833333,1.593
22.21875,1.601
22.22916667,1.605
22.23958333,1.61
22.25,1.61
22.26041667,1.612
22.27083333,1.617
22.28125,1.62
22.29166667,1.621
22.30208333,1.624
22.3125,1.624
22.32291667,1.627
22.33333333,1.627
22.34375,1.631
22.35416667,1.627
22.36458333,1.628
22.375,1.629
22.38541667,1.627
22.39583333,1.623
22.40625,1.624
22.41666667,1.625
22.42708333,1.626
22.4375,1.622
