Day in November,Flow Rate (m^3/s),Height (m)
21,8.55,1.259
21.01041667,8.74,1.264
21.02083333,8.92,1.269
21.03125,9.1,1.274
21.04166667,9.29,1.279
21.05208333,9.44,1.283
21.0625,9.59,1.287
21.07291667,9.7,1.29
21.08333333,9.82,1.293
21.09375,9.93,1.296
21.10416667,10,1.299
21.11458333,10.2,1.303
21.125,10.3,1.306
21.13541667,10.5,1.31
21.14583333,10.7,1.315
21.15625,10.9,1.32
21.16666667,11,1.324
21.17708333,11.2,1.329
21.1875,11.4,1.333
21.19791667,11.6,1.338
21.20833333,11.8,1.345
21.21875,12,1.35
21.22916667,12.3,1.355
21.23958333,12.4,1.359
21.25,12.5,1.362
21.26041667,12.7,1.365
21.27083333,12.8,1.368
21.28125,12.9,1.372
21.29166667,13.2,1.378
21.30208333,13.4,1.383
21.3125,13.6,1.388
21.32291667,13.8,1.393
21.33333333,14,1.398
21.34375,14.3,1.404
21.35416667,14.7,1.413
21.36458333,15.2,1.426
21.375,15.9,1.441
21.38541667,16.9,1.463
21.39583333,18.1,1.49
21.40625,19.2,1.514
21.41666667,20.2,1.535
21.42708333,21,1.553
21.4375,22.1,1.575
21.44791667,23.2,1.597
21.45833333,24.3,1.62
21.46875,25.6,1.645
21.47916667,26.9,1.67
21.48958333,28.6,1.702
21.5,30.4,1.736
21.51041667,32.5,1.775
21.52083333,34.3,1.807
21.53125,35.9,1.837
21.54166667,37.6,1.866
21.55208333,39.1,1.892
21.5625,40.5,1.915
21.57291667,41.6,1.934
21.58333333,42.6,1.952
21.59375,43.5,1.967
21.60416667,44.7,1.986
21.61458333,45.8,2.004
21.625,46.8,2.02
21.63541667,47.8,2.036
21.64583333,48.7,2.051
21.65625,49.7,2.068
21.66666667,50.6,2.081
21.67708333,51.5,2.096
21.6875,52.2,2.107
21.69791667,53,2.12
21.70833333,53.9,2.133
21.71875,55.4,2.157
21.72916667,57.1,2.183
21.73958333,58,2.197
21.75,58.4,2.203
21.76041667,59.1,2.213
21.77083333,59.5,2.22
21.78125,60,2.227
21.79166667,60.7,2.237
21.80208333,61.3,2.246
21.8125,62.1,2.258
21.82291667,62.7,2.268
21.83333333,63.2,2.275
21.84375,63.8,2.284
21.85416667,64.2,2.29
21.86458333,64.8,2.299
21.875,65.3,2.306
21.88541667,65.8,2.313
21.89583333,66.3,2.321
21.90625,66.6,2.325
21.91666667,67.3,2.335
21.92708333,67.7,2.34
21.9375,68,2.345
21.94791667,68.4,2.351
21.95833333,68.7,2.355
21.96875,69.1,2.361
21.97916667,69.6,2.368
21.98958333,69.8,2.371
22,70.1,2.375
22.01041667,70.1,2.376
22.02083333,70.5,2.381
22.03125,70.7,2.384
22.04166667,71.1,2.39
22.05208333,71.3,2.393
22.0625,71.5,2.395
22.07291667,71.8,2.4
22.08333333,72.1,2.404
22.09375,72.2,2.405
22.10416667,72.5,2.41
22.11458333,72.7,2.413
22.125,72.9,2.416
22.13541667,73.2,2.42
22.14583333,73.5,2.424
22.15625,73.8,2.428
22.16666667,73.9,2.43
22.17708333,74.4,2.436
22.1875,74.4,2.436
22.19791667,74.8,2.442
22.20833333,74.9,2.443
22.21875,75.2,2.448
22.22916667,75.6,2.454
22.23958333,76,2.459
22.25,76.9,2.471
22.26041667,77.5,2.48
22.27083333,79.2,2.503
22.28125,80.8,2.525
22.29166667,83.2,2.559
22.30208333,85.5,2.59
22.3125,87.8,2.62
22.32291667,90,2.65
22.33333333,92.4,2.681
22.34375,95.3,2.719
22.35416667,98.7,2.764
22.36458333,102,2.807
22.375,105,2.839
22.38541667,107,2.873
22.39583333,110,2.902
22.40625,112,2.931
22.41666667,114,2.955
22.42708333,115,2.974
22.4375,117,2.994
22.44791667,118,3.01
22.45833333,120,3.026
22.46875,120,3.036
22.47916667,121,3.047
22.48958333,122,3.055
22.5,122,3.06
22.51041667,123,3.062
22.52083333,123,3.063
22.53125,123,3.067
22.54166667,123,3.068
22.55208333,123,3.065
22.5625,123,3.065
22.57291667,123,3.061
22.58333333,122,3.059
22.59375,122,3.056
22.60416667,122,3.053
22.61458333,121,3.046
22.625,121,3.039
22.63541667,120,3.035
22.64583333,120,3.029
22.65625,119,3.024
22.66666667,119,3.016
22.67708333,118,3.012
22.6875,118,3.007
22.69791667,118,3.002
22.70833333,117,2.993
22.71875,117,2.99
22.72916667,116,2.983
22.73958333,116,2.978
22.75,115,2.973
22.76041667,115,2.968
22.77083333,115,2.963
22.78125,114,2.96
22.79166667,114,2.958
22.80208333,114,2.958
22.8125,114,2.957
22.82291667,114,2.953
22.83333333,114,2.954
22.84375,114,2.957
22.85416667,114,2.958
22.86458333,115,2.963
22.875,115,2.965
22.88541667,115,2.97
22.89583333,115,2.975
22.90625,116,2.979
22.91666667,116,2.981
22.92708333,116,2.984
22.9375,117,2.988
22.94791667,117,2.992
22.95833333,117,2.993
22.96875,117,2.995
22.97916667,117,2.998
22.98958333,118,3
23,118,3.004
23.01041667,118,3.004
23.02083333,118,3.005
23.03125,118,3.008
23.04166667,118,3.012
23.05208333,119,3.013
23.0625,119,3.016
23.07291667,119,3.02
23.08333333,119,3.022
23.09375,119,3.023
23.10416667,120,3.027
23.11458333,120,3.03
23.125,120,3.03
23.13541667,120,3.035
23.14583333,120,3.033
23.15625,121,3.037
23.16666667,121,3.037
23.17708333,121,3.038
23.1875,121,3.038
23.19791667,121,3.038
23.20833333,121,3.037
23.21875,120,3.034
23.22916667,120,3.032
23.23958333,120,3.031
23.25,120,3.028
23.26041667,120,3.026
23.27083333,119,3.022
23.28125,119,3.019
23.29166667,119,3.015
23.30208333,119,3.014
23.3125,118,3.007
23.32291667,118,3.003
23.33333333,118,3
23.34375,117,2.993
23.35416667,117,2.988
23.36458333,116,2.983
23.375,116,2.977
23.38541667,115,2.97
23.39583333,115,2.963
23.40625,114,2.959
23.41666667,114,2.951
23.42708333,113,2.945
23.4375,113,2.941
23.44791667,112,2.935
23.45833333,112,2.926
23.46875,111,2.92
23.47916667,111,2.915
23.48958333,110,2.906
23.5,110,2.901
23.51041667,109,2.894
23.52083333,108,2.888
23.53125,108,2.882
23.54166667,107,2.873
23.55208333,107,2.868
23.5625,106,2.86
23.57291667,106,2.855
23.58333333,105,2.85
23.59375,105,2.843
23.60416667,105,2.839
23.61458333,104,2.831
23.625,103,2.824
23.63541667,103,2.819
23.64583333,103,2.817
23.65625,102,2.812
23.66666667,102,2.805
23.67708333,102,2.805
23.6875,102,2.801
23.69791667,101,2.798
23.70833333,101,2.796
23.71875,101,2.795
23.72916667,101,2.794
23.73958333,101,2.794
23.75,101,2.796
23.76041667,101,2.796
23.77083333,101,2.797
23.78125,102,2.8
23.79166667,102,2.802
23.80208333,102,2.806
23.8125,102,2.808
23.82291667,102,2.81
23.83333333,102,2.812
23.84375,103,2.815
23.85416667,103,2.819
23.86458333,103,2.822
23.875,103,2.821
23.88541667,103,2.824
23.89583333,104,2.826
23.90625,104,2.826
23.91666667,104,2.826
23.92708333,104,2.827
23.9375,104,2.826
23.94791667,104,2.826
23.95833333,103,2.824
23.96875,103,2.82
23.97916667,103,2.818
23.98958333,103,2.814
24,102,2.812
24.01041667,102,2.805
24.02083333,102,2.8
24.03125,101,2.795
24.04166667,101,2.792
24.05208333,100,2.784
24.0625,99.9,2.779
24.07291667,99.3,2.771
24.08333333,98.9,2.766
24.09375,98.4,2.76
24.10416667,97.9,2.753
24.11458333,97.2,2.744
24.125,96.5,2.735
24.13541667,95.9,2.728
24.14583333,95.4,2.721
24.15625,94.7,2.712
24.16666667,94.1,2.704
24.17708333,93.3,2.694
24.1875,92.7,2.686
24.19791667,92.1,2.677
24.20833333,91.5,2.67
24.21875,91,2.663
24.22916667,90.2,2.653
24.23958333,89.6,2.644
